remove_stop_words;permitted_tags;perform_ordering;use_word_sense;similarity_measure;similarity_threshold;type_of_replacement;jaccard_threshold;accuracy;recall;precision;f_measure
True;VERB NOUN ADJ;False;True;lch;0.1;keep_unique;0.7;0.331943081452;0.0108972030512;1.0;0.0215594681998
True;VERB NOUN ADJ;False;True;lch;0.1;keep_unique;0.9;0.328017664377;0.0050853614239;1.0;0.0101192627394
True;VERB NOUN ADJ;False;True;lch;0.5;keep_unique;0.1;0.600343473994;0.652379222666;0.727714748784;0.687990806359
True;VERB NOUN ADJ;False;True;lch;0.5;keep_unique;0.3;0.478164867517;0.30003632401;0.805068226121;0.437152685896
True;VERB NOUN ADJ;False;True;lch;0.5;keep_unique;0.5;0.381010794897;0.0951689066473;0.891156462585;0.1719724319
True;VERB NOUN ADJ;False;True;lch;0.5;keep_unique;0.7;0.342983316977;0.0283327279332;0.962962962963;0.0550458715596
True;VERB NOUN ADJ;False;True;lch;0.5;keep_unique;0.9;0.328508341511;0.00581184162732;1.0;0.0115565185988
True;VERB NOUN ADJ;False;True;lch;0.9;keep_unique;0.1;0.602551521099;0.695604794769;0.710048201706;0.702752293578
True;VERB NOUN ADJ;False;True;lch;0.9;keep_unique;0.3;0.496074582924;0.347257537232;0.78812860676;0.482097831568
True;VERB NOUN ADJ;False;True;lch;0.9;keep_unique;0.5;0.393032384691;0.118416273157;0.87399463807;0.208573256558
True;VERB NOUN ADJ;False;True;lch;0.9;keep_unique;0.7;0.342492639843;0.0294224482383;0.910112359551;0.0570021111893
True;VERB NOUN ADJ;False;True;lch;0.9;keep_unique;0.9;0.328753680079;0.00617508172902;1.0;0.012274368231
True;VERB NOUN ADJ;False;True;lin;0.1;keep_unique;0.1;0.581697742885;0.545949872866;0.767620020429;0.638081086818
True;VERB NOUN ADJ;False;True;lin;0.1;keep_unique;0.3;0.436457311089;0.211042499092;0.822946175637;0.335935241399
True;VERB NOUN ADJ;False;True;lin;0.1;keep_unique;0.5;0.363837095191;0.0646567381039;0.908163265306;0.120718887759
True;VERB NOUN ADJ;False;True;lin;0.1;keep_unique;0.7;0.337585868499;0.021067925899;0.920634920635;0.0411931818182
True;VERB NOUN ADJ;False;True;lin;0.1;keep_unique;0.9;0.328753680079;0.00617508172902;1.0;0.012274368231
True;VERB NOUN ADJ;False;True;lin;0.5;keep_unique;0.1;0.600834151129;0.683981111515;0.713257575758;0.69831262748
True;VERB NOUN ADJ;False;True;lin;0.5;keep_unique;0.3;0.492885181551;0.336360334181;0.794168096055;0.472569533044
True;VERB NOUN ADJ;False;True;lin;0.5;keep_unique;0.5;0.388861629048;0.109335270614;0.885294117647;0.194633042354
True;VERB NOUN ADJ;False;True;lin;0.5;keep_unique;0.7;0.342983316977;0.02978568834;0.921348314607;0.0577058409571
True;VERB NOUN ADJ;False;True;lin;0.5;keep_unique;0.9;0.328753680079;0.00617508172902;1.0;0.012274368231
True;VERB NOUN ADJ;False;True;lin;0.9;keep_unique;0.1;0.603287536801;0.696694515074;0.71037037037;0.703465982028
True;VERB NOUN ADJ;False;True;lin;0.9;keep_unique;0.3;0.496810598626;0.348710497639;0.788177339901;0.483505414253
True;VERB NOUN ADJ;False;True;lin;0.9;keep_unique;0.5;0.391805691855;0.116236832546;0.874316939891;0.205193972427
True;VERB NOUN ADJ;False;True;lin;0.9;keep_unique;0.7;0.342247301276;0.0286959680349;0.918604651163;0.0556533990842
True;VERB NOUN ADJ;False;True;lin;0.9;keep_unique;0.9;0.328508341511;0.00581184162732;1.0;0.0115565185988
True;VERB NOUN ADJ;False;True;path;0.1;keep_unique;0.1;0.557654563297;0.522339266255;0.746625129803;0.614661252404
True;VERB NOUN ADJ;False;True;path;0.1;keep_unique;0.3;0.416830225711;0.175444969125;0.818644067797;0.288962010171
True;VERB NOUN ADJ;False;True;path;0.1;keep_unique;0.5;0.353532875368;0.0486741736288;0.893333333333;0.0923182914227
True;VERB NOUN ADJ;False;True;path;0.1;keep_unique;0.7;0.337095191364;0.0199782055939;0.932203389831;0.0391180654339
True;VERB NOUN ADJ;False;True;path;0.1;keep_unique;0.9;0.328999018646;0.00653832183073;1.0;0.0129916997474
True;VERB NOUN ADJ;False;True;path;0.5;keep_unique;0.1;0.603042198234;0.696694515074;0.710107367642;0.703337000367
True;VERB NOUN ADJ;False;True;path;0.5;keep_unique;0.3;0.496074582924;0.347984017436;0.787181594084;0.482619647355
True;VERB NOUN ADJ;False;True;path;0.5;keep_unique;0.5;0.393032384691;0.118416273157;0.87399463807;0.208573256558
True;VERB NOUN ADJ;False;True;path;0.5;keep_unique;0.7;0.342983316977;0.02978568834;0.921348314607;0.0577058409571
True;VERB NOUN ADJ;False;True;path;0.5;keep_unique;0.9;0.328753680079;0.00617508172902;1.0;0.012274368231
True;VERB NOUN ADJ;False;True;path;0.9;keep_unique;0.1;0.603042198234;0.696694515074;0.710107367642;0.703337000367
True;VERB NOUN ADJ;False;True;path;0.9;keep_unique;0.3;0.496074582924;0.347984017436;0.787181594084;0.482619647355
True;VERB NOUN ADJ;False;True;path;0.9;keep_unique;0.5;0.393032384691;0.118416273157;0.87399463807;0.208573256558
True;VERB NOUN ADJ;False;True;path;0.9;keep_unique;0.7;0.342983316977;0.02978568834;0.921348314607;0.0577058409571
True;VERB NOUN ADJ;False;True;path;0.9;keep_unique;0.9;0.328753680079;0.00617508172902;1.0;0.012274368231
True;VERB NOUN ADJ;False;True;wup;0.1;keep_unique;0.1;0.513002944063;0.397021431166;0.770803949224;0.524094941261
True;VERB NOUN ADJ;False;True;wup;0.1;keep_unique;0.3;0.385917566241;0.10860879041;0.859195402299;0.192841019026
True;VERB NOUN ADJ;False;True;wup;0.1;keep_unique;0.5;0.343964671246;0.0308754086451;0.934065934066;0.0597749648383
True;VERB NOUN ADJ;False;True;wup;0.1;keep_unique;0.7;0.331697742885;0.0105339629495;1.0;0.0208483105679
True;VERB NOUN ADJ;False;True;wup;0.1;keep_unique;0.9;0.328263002944;0.00544860152561;1.0;0.010838150289
True;VERB NOUN ADJ;False;True;wup;0.5;keep_unique;0.1;0.588812561335;0.61060661097;0.735667396061;0.667328304883
True;VERB NOUN ADJ;False;True;wup;0.5;keep_unique;0.3;0.457065750736;0.2553577915;0.811778290993;0.388505111909
True;VERB NOUN ADJ;False;True;wup;0.5;keep_unique;0.5;0.369970559372;0.0784598619688;0.874493927126;0.144
True;VERB NOUN ADJ;False;True;wup;0.5;keep_unique;0.7;0.337831207066;0.021067925899;0.935483870968;0.0412078152753
True;VERB NOUN ADJ;False;True;wup;0.5;keep_unique;0.9;0.328263002944;0.00544860152561;1.0;0.010838150289
True;VERB NOUN ADJ;False;True;wup;0.9;keep_unique;0.1;0.603778213935;0.695968034871;0.711210096511;0.703506517349
True;VERB NOUN ADJ;False;True;wup;0.9;keep_unique;0.3;0.49558390579;0.346531057029;0.787778695293;0.481331987891
True;VERB NOUN ADJ;False;True;wup;0.9;keep_unique;0.5;0.392541707556;0.117689792953;0.873315363881;0.20742637644
True;VERB NOUN ADJ;False;True;wup;0.9;keep_unique;0.7;0.34273797841;0.0294224482383;0.920454545455;0.0570221752904
True;VERB NOUN ADJ;False;True;wup;0.9;keep_unique;0.9;0.328753680079;0.00617508172902;1.0;0.012274368231
True;VERB NOUN ADV;True;True;jcn;0.1;keep_unique;0.1;0.610157016683;0.552488194697;0.809904153355;0.656877564241
True;VERB NOUN ADV;True;True;jcn;0.1;keep_unique;0.3;0.454121687929;0.211405739194;0.915094339623;0.343464148716
True;VERB NOUN ADV;True;True;jcn;0.1;keep_unique;0.5;0.373405299313;0.0759171812568;0.954337899543;0.14064602961
True;VERB NOUN ADV;True;True;jcn;0.1;keep_unique;0.7;0.342001962709;0.0265165274246;0.973333333333;0.0516265912306
True;VERB NOUN ADV;True;True;jcn;0.1;keep_unique;0.9;0.335377821394;0.0159825644751;1.0;0.0314622810154
True;VERB NOUN ADV;True;True;jcn;0.5;keep_unique;0.1;0.60868498528;0.550671994188;0.808964781217;0.655284201426
True;VERB NOUN ADV;True;True;jcn;0.5;keep_unique;0.3;0.453385672228;0.210316018888;0.914691943128;0.341996455995
True;VERB NOUN ADV;True;True;jcn;0.5;keep_unique;0.5;0.372914622179;0.0751907010534;0.953917050691;0.139393939394
True;VERB NOUN ADV;True;True;jcn;0.5;keep_unique;0.7;0.342001962709;0.0265165274246;0.973333333333;0.0516265912306
True;VERB NOUN ADV;True;True;jcn;0.5;keep_unique;0.9;0.335377821394;0.0159825644751;1.0;0.0314622810154
True;VERB NOUN ADV;True;True;jcn;0.9;keep_unique;0.1;0.60868498528;0.550671994188;0.808964781217;0.655284201426
True;VERB NOUN ADV;True;True;jcn;0.9;keep_unique;0.3;0.453385672228;0.210316018888;0.914691943128;0.341996455995
True;VERB NOUN ADV;True;True;jcn;0.9;keep_unique;0.5;0.372914622179;0.0751907010534;0.953917050691;0.139393939394
True;VERB NOUN ADV;True;True;jcn;0.9;keep_unique;0.7;0.342001962709;0.0265165274246;0.973333333333;0.0516265912306
True;VERB NOUN ADV;True;True;jcn;0.9;keep_unique;0.9;0.335377821394;0.0159825644751;1.0;0.0314622810154
True;VERB NOUN ADV;True;True;res;0.1;keep_unique;0.1;0.630029440628;0.615328732292;0.790480634624;0.691993464052
True;VERB NOUN ADV;True;True;res;0.1;keep_unique;0.3;0.472767419038;0.248819469669;0.894255874674;0.389315146348
True;VERB NOUN ADV;True;True;res;0.1;keep_unique;0.5;0.376594700687;0.0813657827824;0.949152542373;0.149882903981
True;VERB NOUN ADV;True;True;res;0.1;keep_unique;0.7;0.346172718351;0.0330548492554;0.968085106383;0.0639269406393
True;VERB NOUN ADV;True;True;res;0.1;keep_unique;0.9;0.336849852797;0.0181620050854;1.0;0.0356760613628
True;VERB NOUN ADV;True;True;res;0.5;keep_unique;0.1;0.613591756624;0.561205957138;0.808054393305;0.662379421222
True;VERB NOUN ADV;True;True;res;0.5;keep_unique;0.3;0.457311089303;0.216854340719;0.914241960184;0.350557839107
True;VERB NOUN ADV;True;True;res;0.5;keep_unique;0.5;0.37365063788;0.0762804213585;0.954545454545;0.141271442987
True;VERB NOUN ADV;True;True;res;0.5;keep_unique;0.7;0.34102060844;0.0250635670178;0.971830985915;0.0488668555241
True;VERB NOUN ADV;True;True;res;0.5;keep_unique;0.9;0.334641805692;0.01489284417;1.0;0.0293486041518
True;VERB NOUN ADV;True;True;res;0.9;keep_unique;0.1;0.609175662414;0.551398474392;0.809168443497;0.655865197667
True;VERB NOUN ADV;True;True;res;0.9;keep_unique;0.3;0.452894995093;0.209226298583;0.91573926868;0.340626848019
True;VERB NOUN ADV;True;True;res;0.9;keep_unique;0.5;0.372178606477;0.0741009807483;0.953271028037;0.137512639029
True;VERB NOUN ADV;True;True;res;0.9;keep_unique;0.7;0.341511285574;0.0257900472212;0.972602739726;0.0502476999292
True;VERB NOUN ADV;True;True;res;0.9;keep_unique;0.9;0.334887144259;0.0152560842717;1.0;0.030053667263
True;VERB NOUN ADV;True;True;lch;0.1;keep_unique;0.1;0.647448478901;0.755176171449;0.731527093596;0.743163538874
True;VERB NOUN ADV;True;True;lch;0.1;keep_unique;0.3;0.512021589794;0.365056302216;0.80658105939;0.502625656414
True;VERB NOUN ADV;True;True;lch;0.1;keep_unique;0.5;0.393032384691;0.132582637123;0.809312638581;0.22784019975
True;VERB NOUN ADV;True;True;lch;0.1;keep_unique;0.7;0.358439646712;0.0613875771885;0.845;0.114459871317
True;VERB NOUN ADV;True;True;lch;0.1;keep_unique;0.9;0.346663395486;0.0352342898656;0.932692307692;0.0679033951698
True;VERB NOUN ADV;True;True;lch;0.5;keep_unique;0.1;0.622669283611;0.587722484562;0.800593765463;0.677838290742
True;VERB NOUN ADV;True;True;lch;0.5;keep_unique;0.3;0.456575073602;0.22557210316;0.882102272727;0.359271044258
